0.000000000000000000e+00,4.068211139620146923e+02,4.147303999984188749e+02,3.731264427778008326e+02,3.757492306189309375e+02,3.926067968392912917e+02
9.990000724792480469e-01,3.937796045084284060e+02,3.907304000008053890e+02,3.635689207384714337e+02,3.653646151843727239e+02,3.783608851080194881e+02
2.986000061035156250e+00,3.709569629643435746e+02,3.787304000001796567e+02,3.603830800585339489e+02,3.584415382279131563e+02,3.671279953127425415e+02
5.856000185012817383e+00,3.628060195558830401e+02,3.787303999983606673e+02,3.603830800585339489e+02,3.532492305108963819e+02,3.637921825309184669e+02
6.855000019073486328e+00,3.693267742825526057e+02,3.907304000008053890e+02,3.635689207384714337e+02,3.584415382281754887e+02,3.705169083125011866e+02
7.855000019073486328e+00,3.921494158266374370e+02,4.027303999996121320e+02,3.763122834572553757e+02,3.688261536624713699e+02,3.850045632364940502e+02
8.855000019073486328e+00,4.149720573704752269e+02,4.147304000002378643e+02,3.858698054970676594e+02,3.844030768145710226e+02,3.999938349205879717e+02
1.071800017356872559e+01,4.133418686889313562e+02,3.907304000008053890e+02,3.731264427778008326e+02,3.826723075753905619e+02,3.899677547607320207e+02
1.228400015830993652e+01,3.725871516461344868e+02,3.907303999989863996e+02,3.540113986991419779e+02,3.515184612717159212e+02,3.672118529039947248e+02
1.328299999237060547e+01,3.515033780292603751e+02,3.907303999989863996e+02,3.508255580192045500e+02,3.411338458371577076e+02,3.585482954711522439e+02
1.542500019073486328e+01,3.579154535107572883e+02,3.787304000001796567e+02,3.603830800585339489e+02,3.480569227936173320e+02,3.612714640907720423e+02
